SeriesDescription,GeoAreaName,TimePeriod,Value,Education level
"Proportion of schools with access to the internet for pedagogical purposes, by education level (%)",Indonesia,2017,85.00128,UPPSEC
"Proportion of schools with access to the internet for pedagogical purposes, by education level (%)",Indonesia,2018,85.16617,UPPSEC
"Proportion of schools with access to the internet for pedagogical purposes, by education level (%)",Indonesia,2018,46.4785,LOWSEC
"Proportion of schools with access to the internet for pedagogical purposes, by education level (%)",Indonesia,2018,61.40284,SECOND
"Proportion of schools with access to the internet for pedagogical purposes, by education level (%)",Indonesia,2020,93.028,UPPSEC
"Proportion of schools with access to the internet for pedagogical purposes, by education level (%)",Indonesia,2021,94.89,UPPSEC
"Proportion of schools with access to the internet for pedagogical purposes, by education level (%)",Indonesia,2021,84.084,PRIMAR
"Proportion of schools with access to the internet for pedagogical purposes, by education level (%)",Indonesia,2021,87.935,LOWSEC
"Proportion of schools with access to the internet for pedagogical purposes, by education level (%)",Indonesia,2021,90.738,SECOND
"Proportion of schools with access to the internet for pedagogical purposes, by education level (%)",Indonesia,2022,95.916,UPPSEC
"Proportion of schools with access to the internet for pedagogical purposes, by education level (%)",Indonesia,2022,92.803,SECOND
"Proportion of schools with access to the internet for pedagogical purposes, by education level (%)",Indonesia,2022,90.714,LOWSEC
"Proportion of schools with access to the internet for pedagogical purposes, by education level (%)",Indonesia,2022,84.084,PRIMAR
"Proportion of schools with access to single-sex basic sanitation, by education level (%)",Indonesia,2018,60.3005,LOWSEC
"Proportion of schools with access to single-sex basic sanitation, by education level (%)",Indonesia,2018,55.10918,UPPSEC
"Proportion of schools with access to single-sex basic sanitation, by education level (%)",Indonesia,2018,49.77455,PRIMAR
"Proportion of schools with access to single-sex basic sanitation, by education level (%)",Indonesia,2020,63.874,UPPSEC
"Proportion of schools with access to single-sex basic sanitation, by education level (%)",Indonesia,2020,65.362,LOWSEC
"Proportion of schools with access to single-sex basic sanitation, by education level (%)",Indonesia,2020,52.553,PRIMAR
"Proportion of schools with access to single-sex basic sanitation, by education level (%)",Indonesia,2021,76.549,LOWSEC
"Proportion of schools with access to single-sex basic sanitation, by education level (%)",Indonesia,2021,73.475,UPPSEC
"Proportion of schools with access to single-sex basic sanitation, by education level (%)",Indonesia,2021,68.4,PRIMAR
"Proportion of schools with access to single-sex basic sanitation, by education level (%)",Indonesia,2022,58.845,PRIMAR
"Proportion of schools with access to single-sex basic sanitation, by education level (%)",Indonesia,2022,71.846,UPPSEC
"Proportion of schools with access to single-sex basic sanitation, by education level (%)",Indonesia,2022,71.378,LOWSEC
